gsymb	XX_over_XY_log2FC	q_value
PADI1	-3.19257	1
PAX7	-2.11817	1
TIE1	-3.21434	1
FOXE3	-2.47011	1
-	-2.06958	0.00340977
WNT2B	-2.36142	0.000867966
-	-2.26625	0.00340977
ATP1A2	-2.46596	0.000867966
C1orf87	-2.53911	1
LMX1A	-2.08788	1
GPA33	-2.30225	1
SUSD4	-2.83092	1
ANKRD30A	-3.15695	1
BICC1	-2.04208	1
LGI1	-2.99662	0.0118093
DNAJC12	-2.76367	1
C10orf105	-2.04989	1
ADAM12	-2.64894	1
IGF2-AS	-2.57042	1
OR10A2	-2.04213	1
NELL1	-2.1474	1
LRRC55	-3.01414	1
NNMT	-2.70312	1
PKNOX2	-2.46106	0.0121586
H19	-3.92474	0.000867966
INS-IGF2	-3.55014	1
DBX1	-2.30156	0.00158595
GLYAT	-2.07758	1
SLC15A3	-4.20373	0.0132888
FLJ39051	-2.17977	1
C12orf39	-2.41103	1
WNT1	-3.47458	0.000867966
LOC100240734	-2.13766	1
LOC400043	-3.63494	1
SYT10	-2.52843	0.000867966
SOX21	-2.23578	0.0039475
CMTM5	-2.06958	1
ASB2	-2.16761	1
CRABP1	-2.29516	0.000867966
LOC145845	-4.11642	1
MEIS2	-2.62381	0.000867966
ATP8B4	-2.22124	1
GPR56	-2.05071	0.000867966
CLEC18A	-2.00898	1
CLEC18C	-2.02576	1
BCMO1	-2.91673	1
HSD17B2	-3.22032	0.000867966
CES1	-3.11458	1
NOG	-2.32667	1
LOC728392	-2.03137	0.000867966
MEOX1	-2.55706	0.000867966
SOST	-3.78343	0.000867966
HOXB1	-3.71793	0.000867966
-	-2.47758	0.00340977
ZNF521	-2.46298	0.000867966
SERPINB4	-2.04842	1
RFX2	-2.29882	0.0184611
GDF7	-2.18349	1
KCNK3	-2.03499	1
DPYSL5	-2.86813	0.000867966
MAL	-3.49872	1
SLC5A7	-2.0088	1
HOXD4	-2.39942	0.000867966
HOXD3	-5.03909	0.000867966
MAP2	-4.40989	0.00282811
UNC80	-2.56676	1
CPS1-IT1	-2.04213	1
ZEB2	-2.61456	0.000867966
SCN3A	-3.57959	1
SCN1A	-2.35188	1
HOXD-AS1	-4.24608	1
DOCK10	-2.65037	1
RAD21L1	-2.06958	1
LAMP5	-3.4965	0.00222893
SPINT4	-2.08099	0.0039475
KIAA1755	-2.11337	1
LINC00478	-2.9649	1
FAM109B	-2.22176	1
BOC	-2.92049	0.0143642
CLSTN2	-4.04864	0.0432614
ZIC1	-4.57445	1
PTX3	-3.3256	1
SOX2-OT	-2.71887	0.0230374
FEZF2	-3.74318	0.000867966
ZIC4	-3.30594	1
CLRN1	-2.51418	1
SPTSSB	-2.18021	1
BCHE	-3.71198	0.000867966
MECOM	-2.03417	0.000867966
-	-2.3116	0.00340977
KIAA1239	-2.09817	1
MMRN1	-2.53332	1
-	-2.06965	0.00340977
DCLK2	-2.80138	1
LEF1	-2.69641	0.0314647
NDST4	-2.29549	1
TRPC3	-3.31293	0.000867966
INPP4B	-2.45437	1
CDH6	-2.15314	0.000867966
NR2F1	-2.54779	1
-	-4.06802	0.00340977
KCNIP1	-2.20559	1
CAMK2A	-2.0146	0.048963
GLRA1	-2.55701	0.0449729
SLC17A4	-2.18311	1
FUT9	-2.41352	0.000867966
POU3F2	-3.56852	1
PRDM13	-2.93711	1
SOBP	-3.80997	1
HLA-DMB	-2.31161	1
MDGA1	-3.03412	1
KIAA0408	-2.02681	1
OLIG3	-3.54527	1
C6orf118	-2.08788	1
FEZF1-AS1	-3.2222	0.000867966
HOXA2	-2.58653	1
HOXA3	-2.78201	1
SFRP4	-2.77615	1
AMPH	-2.07639	0.02159
SEMA3C	-2.60454	0.000867966
RELN	-2.00791	0.000867966
FEZF1	-2.29577	1
PTN	-2.05601	0.000867966
LOC100652791	-3.20121	1
CLVS1	-3.14134	1
LOC100130155	-2.7865	0.000867966
BAALC	-2.69167	0.00497801
COL14A1	-2.52678	0.000867966
ANGPT1	-2.63608	0.0114248
NTRK2	-3.14259	0.00945718
PAPPA	-2.79023	0.000867966
CNTFR	-2.96727	1
PGM5-AS1	-2.37541	1
XK	-2.00648	1
PABPC1L2A	-2.80494	0.000867966
TCEAL5	-3.75007	0.000867966
H2BFXP	-2.06965	1
