gsymb	XX_over_XY_log2FC	q_value
HES3	-2.47351	0.000867966
RCSD1	-2.46199	1
WNT3A	-3.23777	0.000867966
GPR153	-2.23156	1
ELTD1	-2.10443	1
ILDR2	-3.79084	0.00340977
-	-2.07493	0.00340977
ABCC8	-2.355	1
RFX4	-4.17188	1
OAS3	-3.55306	1
-	-2.52725	0.00340977
LOC100507351	-2.31619	1
KCNH4	-2.04209	1
LOC644172	-2.29186	1
CELF5	-3.20424	0.000867966
CRLF1	-2.06844	1
KLK14	-2.07758	0.000867966
PAX3	-4.12709	1
VSTM2L	-2.10416	1
TEKT4P2	-3.97519	0.000867966
TMPRSS11D	-2.02172	1
CXCL5	-3.78741	0.000867966
CDX1	-2.00898	1
CHRM2	-2.92738	0.0273819
DUSP26	-2.01383	1
ST18	-2.0811	1
FAM46D	-2.08099	1
RPS4Y1	-5.03223	1
ZFY	-3.06012	1
TBL1Y	-3.31053	0.000867966
PRKY	-2.36377	0.000867966
TTTY15	-2.7687	1
DDX3Y	-2.65573	0.000867966
NLGN4Y	-3.18718	0.00158595
TXLNG2P	-4.38483	1
EIF1AY	-4.01758	1
SRY	-2.27806	0.00158595
UTY	-2.38115	0.000867966
TTTY14	-2.30786	1
KDM5D	-3.25101	0.0039475
