gsymb	XX_over_XY_log2FC	q_value
ELAVL4	2.06113	1
DUSP23	2.05888	1
LOC284648	2.04768	1
VN1R5	2.15893	1
MYBPHL	2.26992	1
SHCBP1L	2.08981	1
LOC100131234	2.13399	0.0154481
CYP2E1	2.63945	0.000867966
VAX1	2.24197	1
TCERG1L	2.19031	1
UBTFL1	2.15269	0.00158595
CHRNA10	2.08474	1
-	2.69915	0.00340977
-	2.49928	0.00340977
-	2.64805	0.00340977
-	2.30408	0.00340977
BIN2	2.1004	1
APOF	2.41574	1
NDUFA4L2	2.13399	1
HCAR2	2.23301	1
ATP8A2	3.22183	1
SLITRK1	2.23301	1
EDDM3A	2.35908	0.00222893
KCNK13	2.3294	1
-	3.28513	0.00340977
HIGD2B	2.24358	1
FOXC2	2.13399	1
CCDC79	2.12859	1
C17orf105	2.15893	0.00686857
RASD1	2.31823	0.000867966
C17orf66	2.12357	1
AQP4	2.08458	1
SNORD58C	2.26826	1
TLE6	2.71695	1
OVOL3	2.02817	1
TYROBP	2.51904	0.000867966
LINC00570	2.16774	1
VWC2L	2.38538	1
-	2.35422	0.00340977
LOC440905	2.23392	1
SPHKAP	2.81307	1
TRPM2	2.34759	1
BRWD1-IT2	2.34001	1
DNMT3L	3.40728	0.000867966
GSTT2	2.17374	1
CHL1	2.16257	1
LOC100507391	2.09608	1
-	2.31646	0.00340977
SHISA3	2.95466	1
KCTD8	2.08459	1
AGXT2L1	2.64557	0.00686857
FLJ11235	2.17903	1
FGF10	2.65352	1
HAND1	2.47112	1
FAM196B	2.0242	1
HIST1H3A	2.48995	0.00158595
HIST1H3C	2.12519	0.0184611
HIST1H4F	2.6723	1
-	2.39084	0.00340977
NR2E1	2.75953	1
FAM26D	2.0886	1
-	2.24358	0.00340977
MYLK4	2.21085	1
HLA-DQB1	2.96597	1
GSTA3	2.93215	0.000867966
SIM1	2.93079	1
PRR18	2.47654	1
HEPACAM2	2.50737	1
EIF3IP1	2.06854	1
NPM2	2.82633	0.000867966
CYP7A1	2.71995	1
SNX31	2.01065	1
-	2.13196	0.00340977
LOC494558	2.16809	1
HEMGN	2.06941	1
-	2.43947	0.00340977
ZCCHC12	2.65229	1
SLITRK2	2.77001	0.00282811
TMEM257	3.36777	1
ALAS2	2.79517	0.000867966
FRMD7	2.08981	1
