gsymb	XX_over_XY_log2FC	q_value
TMEM82	2.06854	1
EXTL1	2.5385	1
SFN	2.28001	1
RAB25	2.17556	0.000867966
-	2.5385	0.00340977
RHCE	2.1004	1
C1orf172	3.38928	0.000867966
C1orf180	2.40654	1
-	2.94444	0.00340977
APOA2	2.21981	0.000867966
HABP2	3.30257	0.000867966
PLA2G12B	2.36607	0.000867966
CPN1	2.55856	1
OVOL1	2.45512	1
DGAT2	2.11352	0.0415977
SNORD25	2.0168	1
MIR1304	2.06113	1
DSCAML1	2.26293	1
TRHDE	2.20621	1
GJA3	2.37829	1
OR5AU1	2.06152	1
TMEM30B	2.17289	1
RHOV	2.06791	1
MIR1272	2.56954	1
SCNN1G	2.29467	1
MT1L	3.14765	0.000867966
MT1M	2.25947	1
CES4A	2.1432	1
CDH1	2.03544	0.000867966
SNORA64	2.18368	1
PLA2G10	2.50762	0.00158595
ACE	2.15318	1
GCGR	2.40654	1
CLDN7	2.55453	0.0420443
SOX15	2.74262	1
SNORA21	2.73105	1
C1QL1	2.08373	1
HCN2	2.35818	1
LOC100288123	2.13773	1
NMRK2	2.22799	0.000867966
ZNF844	4.20516	1
ZNF93	3.26054	1
ZNF253	3.04934	1
-	3.65408	0.00340977
PRRG2	2.53688	0.000867966
FLJ45445	3.60983	0.000867966
TLE2	3.83602	1
ZNF433	3.5151	1
EPHX3	4.11814	0.000867966
ZNF682	2.17642	1
ZNF826P	3.0453	1
OTX1	2.83601	1
VIL1	2.79659	1
SNORA70B	2.0865	1
RAB17	2.49164	0.000867966
-	2.34198	0.00340977
FAM19A5	3.47446	0.000867966
MB	2.96955	0.000867966
TMPRSS6	2.49263	1
SHISA8	2.15902	1
ZNF501	2.34945	1
AGTR1	2.06152	1
SLC51A	2.16774	1
CD200R1	2.14933	1
GATA2	2.07971	1
RPL39L	2.16034	0.00282811
ABCG2	2.00344	0.000867966
HPGD	2.19125	0.000867966
PCDHB5	2.06854	1
C9	2.20728	1
FOXD1	2.12065	1
LINC00461	2.52895	1
PRSS16	2.00535	0.00158595
HIST1H2BM	3.18119	1
SMLR1	2.08593	1
OR2B2	2.24846	1
TREML1	2.26826	0.00222893
KLHL31	2.31882	1
GABRR2	2.34344	1
WBSCR17	4.8347	1
ZP3	3.52092	1
CCL26	2.11574	1
PDK4	2.35231	1
LRRC69	2.46568	1
ESRP1	2.20812	0.000867966
POU5F1B	2.16774	1
-	2.12531	0.00340977
KIFC2	2.22431	1
BSPRY	2.08081	1
OR5C1	2.37355	0.00158595
AQP3	2.04854	0.00158595
MIR3651	2.12519	1
ZNF883	3.27421	0.000867966
CCNB3	2.31122	1
FAM45B	2.08459	1
DUSP9	2.35939	1
